NYISOname,PTID,Zone,UnitType,DualFuel,FuelTypeprimary,FuelTypesecondary,NamePlateRatingMW,NetEnergyGWh,Latitude,Longitude
"Arthur Kill ST 2",23512,J,Steam Turbine (Fossile),No,Natural Gas,<undefined>,376.2,454.4,40.589204,-74.197028
"Arthur Kill ST 3",23513,J,Steam Turbine (Fossile),No,Natural Gas,<undefined>,535.5,534.3,40.589204,-74.197028
"Allegany",23514,B,Combined Cycle,No,Natural Gas,<undefined>,67,35.7,42.391981,-78.155403
"Brooklyn Navy Yard",23515,J,Combined Cycle,YES,Natural Gas,Fuel Oil,322,1964.7,40.703833,-73.981228
"Astoria 3",23516,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,376,307.3,40.787174,-73.908745
"Astoria 5",23518,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,387,757.8,40.787174,-73.908745
"Wading River 1",23522,K,Combustion Turbine,No,Fuel Oil,<undefined>,79.5,4.2,40.956178,-72.877412
"East River 7",23524,J,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,200,209.6,40.727823,-73.974959
"Bowline 1",23526,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,621,238.4,41.204688,-73.979414
"Ravenswood ST 01",23533,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,400,598.7,40.758433,-73.947041
"Ravenswood ST 02",23534,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,400,579,40.758433,-73.947041
"Ravenswood ST 03",23535,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,1027,797.2,40.763619,-73.943008
"Somerset",23543,A,Steam Turbine (Fossile),No,Coal,<undefined>,655.1,593,43.352724,-78.609027
"Barrett ST 01",23545,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,188,566.9,40.61822,-73.648205
"Barrett ST 02",23546,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,188,721.4,40.61822,-73.648205
"Wading River 2",23547,K,Combustion Turbine,No,Fuel Oil,<undefined>,79.5,1.3,40.956178,-72.877412
"Northport 1",23551,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,340.3,40.88294,-73.292579
"Northport 2",23552,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,665.4,40.88294,-73.292579
"Northport 3",23553,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,932.1,40.88294,-73.292579
"Port Jefferson 3",23555,K,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,188,172.7,40.948399,-73.082874
"Greenidge 4",23583,C,Steam Turbine (Fossile),No,Natural Gas,Wood,112.5,202.4,42.678924,-76.951213
"Cayuga 1",23584,C,Steam Turbine (Fossile),No,Coal,<undefined>,155.3,81.6,42.602627,-76.6329
"Cayuga 2  (IIFO - 7/1/18)",23585,C,Steam Turbine (Fossile),No,Coal,<undefined>,167.2,17.4,42.602627,-76.6329
"Danskammer 1",23586,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,72,2.7,41.563587,-73.954582
"Roseton 1",23587,G,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,621,264.8,41.574939,-73.97868
"Roseton 2",23588,G,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,621,251.7,41.574939,-73.97868
"Danskammer 2",23589,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,73.5,2.7,41.563587,-73.954582
"Danskammer 3",23590,G,Steam Turbine (Fossile),No,Natural Gas,<undefined>,147.1,14.2,41.563587,-73.954582
"Danskammer 4",23591,G,Steam Turbine (Fossile),No,Natural Gas,<undefined>,239.4,10.9,41.563587,-73.954582
"Bowline 2",23595,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,621,229.3,41.204688,-73.979414
"Wading River 3",23601,K,Combustion Turbine,No,Fuel Oil,<undefined>,79.5,7.4,40.956178,-72.877412
"Oswego 5",23606,C,Steam Turbine (Fossile),No,Fuel Oil,<undefined>,901.8,24.4,43.454863,-76.531583
"Oswego 6",23613,C,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,901.8,24.9,43.454863,-76.531583
"Port Jefferson 4",23616,K,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,188,155.2,40.948399,-73.082874
"Hempstead (RR)",23647,K,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,78.6,594.1,40.725252,-73.632026
"Northport 4",23650,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,746.1,40.88294,-73.292579
"Wheelabrator Westchester",23653,H,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,59.7,392,41.264309,-73.949255
"East River 6",23660,J,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,156.2,511.6,40.727823,-73.974959
"Athens 1",23668,F,Combined Cycle,YES,Natural Gas,Fuel Oil,441,1450.1,42.271224,-73.850326
"Athens 2",23670,F,Combined Cycle,YES,Natural Gas,Fuel Oil,441,879.8,42.271224,-73.850326
"Athens 3",23677,F,Combined Cycle,YES,Natural Gas,Fuel Oil,441,1292.1,42.271224,-73.850326
"Glenwood GT 02",23688,K,Combustion Turbine,No,Fuel Oil,<undefined>,55,2.1,40.831741,-73.647631
"Glenwood GT 03",23689,K,Combustion Turbine,No,Fuel Oil,<undefined>,55,2.5,40.831741,-73.647631
"Holtsville 01",23690,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,2,40.817198,-73.063987
"Holtsville 02",23691,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,1.2,40.817198,-73.063987
"Holtsville 04",23693,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,2.7,40.817198,-73.063987
"Holtsville 05",23694,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,1.8,40.817198,-73.063987
"Holtsville 06",23695,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,12.6,40.817198,-73.063988
"Holtsville 07",23696,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,4.4,40.817198,-73.063988
"Holtsville 08",23697,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,5.7,40.817198,-73.063988
"Holtsville 09",23698,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,4,40.817198,-73.063988
"Holtsville 10",23699,K,Jet Engine,No,Fuel Oil,<undefined>,56.7,7.8,40.817198,-73.063988
"Barrett 09",23700,K,Jet Engine,YES,Natural Gas,Fuel Oil,41.8,23,40.61822,-73.648205
"Barrett 10",23701,K,Jet Engine,YES,Natural Gas,Fuel Oil,41.8,16.7,40.61822,-73.648205
"Barrett 11",23702,K,Jet Engine,YES,Natural Gas,Fuel Oil,41.8,38.6,40.61822,-73.648205
"Barrett 12",23703,K,Jet Engine,YES,Natural Gas,Fuel Oil,41.8,30,40.61822,-73.648205
"Barrett GT 01",23704,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,3.9,40.61822,-73.648205
"Barrett GT 02",23705,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,3.9,40.61822,-73.648205
"Barrett 03",23706,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,6.5,40.61822,-73.648205
"Barrett 04",23707,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,9.3,40.61822,-73.648205
"Barrett 05",23708,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,7,40.61822,-73.648205
"Barrett 06",23709,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,4.6,40.61822,-73.648205
"Barrett 08",23711,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,18,4.6,40.61822,-73.648205
"West Babylon 4",23714,K,Combustion Turbine,No,Fuel Oil,<undefined>,52.4,1.9,40.694855,-73.35179
"Shoreham 1",23715,K,Combustion Turbine,No,Fuel Oil,<undefined>,52.9,1.8,40.958228,-72.866146
"East Hampton GT 01",23717,K,Jet Engine,No,Fuel Oil,<undefined>,21.3,11.7,40.936655,-72.373212
"Southold 1",23719,K,Combustion Turbine,No,Fuel Oil,<undefined>,14,1.8,41.048885,-72.469556
"S Hampton 1",23720,K,Combustion Turbine,No,Fuel Oil,<undefined>,11.5,1.5,40.892684,-72.397712
"Freeport CT 1",23764,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,60,36.7,40.667698,-73.538736
"DCRRA",23765,G,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,9.2,23.4,41.563587,-73.954582
"High Acres",23767,C,Internal Combustion,No,Methane (Bio Gas),<undefined>,9.6,6.4,43.07294,-77.289917
"Indeck-Silver Springs",23768,C,Combined Cycle,YES,Natural Gas,Fuel Oil,56.6,78.3,42.701493,-77.996815
"Sterling",23777,E,Combined Cycle,No,Natural Gas,<undefined>,65.3,26.2,43.101984,-75.631405
"Fort Drum",23780,E,Steam Turbine (Fossile),No,Wood,Fuel Oil,55.5,203.4,44.0387,-75.67831
"Indeck-Yerkes",23781,A,Combined Cycle,YES,Natural Gas,Fuel Oil,59.9,60.5,42.972532,-78.933756
"Indeck-Oswego",23783,C,Combined Cycle,YES,Natural Gas,Fuel Oil,57.4,63.9,43.471623,-76.49314
"Linden Cogen",23786,J,Combined Cycle,YES,Natural Gas,Butane,800,4289.8,40.63039,-74.214411
"Binghamton (RET - 1/9/18)",23790,C,Combined Cycle,YES,Natural Gas,Kerosene,47.7,3.5,42.132703,-75.931693
"Lockport",23791,A,Combined Cycle,YES,Natural Gas,Fuel Oil,221.3,444.9,43.16182,-78.738675
"Saranac Energy",23793,D,Combined Cycle,No,Natural Gas,<undefined>,285.6,70.8,44.709583,-73.454129
"Flynn",23794,K,Combined Cycle,YES,Natural Gas,Fuel Oil,170,636.1,40.816093,-73.068343
"Rensselaer",23796,F,Combined Cycle,YES,Natural Gas,Fuel Oil,96.9,4.2,42.605978,-73.714692
"Seneca Energy 1",23797,C,Internal Combustion,No,Methane (Bio Gas),<undefined>,8.8,106.6,42.936142,-76.769691
"Wheelabrator Hudson Falls",23798,F,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,14.4,76.8,43.306154,-73.591954
"Selkirk-II",23799,F,Combined Cycle,YES,Natural Gas,Fuel Oil,338.8,389.2,42.575514,-73.870168
"Selkirk-I",23801,F,Combined Cycle,YES,Natural Gas,Fuel Oil,107.2,25.1,42.575123,-73.861476
"Indeck-Corinth",23802,F,Combined Cycle,YES,Natural Gas,Fuel Oil,147,694.2,43.248624,-73.819531
"General Mills Inc",23808,A,Combustion Turbine,No,Natural Gas,<undefined>,3.8,1.6,42.852295,-78.771766
"Greenport GT1",23814,K,Jet Engine,No,Fuel Oil,<undefined>,54,24.1,41.048885,-72.469556
"Far Rockaway GT2",23815,K,Jet Engine,No,Kerosene,<undefined>,60.5,9.5,40.610683,-73.759891
"KIAC_JFK_GT1",23816,J,Combined Cycle,YES,Natural Gas,Fuel Oil,60.6,603.1,40.66071,-73.817446
"Freeport CT 2",23818,K,Combustion Turbine,YES,Natural Gas,Kerosene,60.5,43.3,40.667698,-73.538736
"Ontario LFGE",23819,C,Internal Combustion,No,Methane (Bio Gas),<undefined>,11.2,71.7,42.879416,-76.953155
"Ravenswood CC 04",23820,J,Combined Cycle,YES,Natural Gas,Fuel Oil,250,1347.4,40.758433,-73.947041
"Bethpage",23823,K,Combined Cycle,No,Natural Gas,<undefined>,83.6,262,40.747099,-73.497568
"Carthage Energy",23857,E,Combined Cycle,YES,Natural Gas,Fuel Oil,62.9,19.9,43.984275,-75.622432
"Castleton Energy Center",23900,F,Combined Cycle,YES,Natural Gas,Fuel Oil,72,131.2,42.539311,-73.745343
"Massena",23902,D,Combined Cycle,YES,Natural Gas,Fuel Oil,102.1,1.7,44.939156,-74.875032
"Indeck-Olean",23982,A,Combined Cycle,YES,Natural Gas,Fuel Oil,90.6,126.8,42.089498,-78.457328
"Beaver Falls",23983,E,Combined Cycle,YES,Natural Gas,Fuel Oil,107.8,10.8,43.92211,-75.319707
"Syracuse",23985,C,Combined Cycle,YES,Natural Gas,Fuel Oil,102.7,32.5,43.063219,-76.225507
"Onondaga County",23987,C,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,39.5,216.8,43.004868,-76.114445
"American Ref-Fuel 1",24010,A,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,25,214.4,43.09846,-79.007149
"Batavia",24024,B,Combined Cycle,No,Natural Gas,<undefined>,67.3,35.3,42.982493,-78.159298
"Fortistar - N.Tonawanda",24026,A,Combined Cycle,YES,Natural Gas,Fuel Oil,68.5,24.1,43.0486,-78.854273
"Carr St.-E. Syr",24060,C,Combined Cycle,YES,Natural Gas,Fuel Oil,122.6,150.5,43.063603,-76.082595
"Astoria GT 2-1",24094,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,7,40.787725,-73.909326
"Astoria GT 2-2",24095,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,1.9,40.787725,-73.909326
"Astoria GT 2-3",24096,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,2.5,40.787725,-73.909326
"Astoria GT 2-4",24097,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,4.6,40.787725,-73.909326
"Astoria GT 3-1",24098,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,2.6,40.787725,-73.909326
"Astoria GT 3-2",24099,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,2.3,40.787725,-73.909326
"Astoria GT 3-3",24100,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,1.8,40.787725,-73.909326
"Astoria GT 3-4",24101,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,2.5,40.787725,-73.909326
"Astoria GT 4-1",24102,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,2.6,40.787725,-73.909326
"Astoria GT 4-2",24103,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,5,40.787725,-73.909326
"Astoria GT 4-3",24104,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,4.3,40.787725,-73.909326
"Astoria GT 4-4",24105,J,Jet Engine,YES,Kerosene,Natural Gas,46.5,2.8,40.787725,-73.909326
"Gowanus 2-1",24114,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,20,1.9,40.6622,-74.0024
"Gowanus 2-2",24115,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,20,1.8,40.6622,-74.0024
"Gowanus 2-3",24116,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,20,1.9,40.6622,-74.0024
"Gowanus 3-5",24126,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,20,1.4,40.6621,-74.0023
"Astoria 2",24149,J,Steam Turbine (Fossile),No,Natural Gas,<undefined>,180,12.6,40.787174,-73.908745
"Stony Brook   (BTM:NG)",24151,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,47,83,40.917685,-73.129131
"Kent",24152,J,Combustion Turbine,No,Natural Gas,<undefined>,47,53.5,40.714802,-73.967716
"Pouch",24155,J,Combustion Turbine,No,Natural Gas,<undefined>,47,59.9,40.610555,-74.077537
"Gowanus 5",24156,J,Combustion Turbine,No,Natural Gas,<undefined>,47,71.7,40.66207,-74.002249
"Gowanus 6",24157,J,Combustion Turbine,No,Natural Gas,<undefined>,47,48.9,40.66207,-74.002249
"Hellgate 1",24158,J,Combustion Turbine,No,Natural Gas,<undefined>,47,26.2,40.79932,-73.909679
"Hellgate 2",24159,J,Combustion Turbine,No,Natural Gas,<undefined>,47,14,40.79932,-73.909679
"Harlem River 1",24160,J,Combustion Turbine,No,Natural Gas,<undefined>,47,26.4,40.79932,-73.909679
"Harlem River 2",24161,J,Combustion Turbine,No,Natural Gas,<undefined>,47,15.1,40.79932,-73.909679
"Vernon Blvd 2",24162,J,Combustion Turbine,No,Natural Gas,<undefined>,47,40.4,40.758433,-73.947041
"Vernon Blvd 3",24163,J,Combustion Turbine,No,Natural Gas,<undefined>,47,23.7,40.758433,-73.947041
"Brentwood",24164,K,Combustion Turbine,No,Natural Gas,<undefined>,47,60.7,40.787453,-73.294752
"Model City Energy",24167,A,Internal Combustion,No,Methane (Bio Gas),<undefined>,5.6,39.5,43.14265,-78.84141
"Monroe Livingston",24207,B,Internal Combustion,No,Methane (Bio Gas),<undefined>,2.4,7.7,42.970859,-77.714831
"Port Jefferson GT 02",24210,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,53,23.9,40.948399,-73.082874
"Port Jefferson GT 03",24211,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,53,30.9,40.948399,-73.082874
"Far Rockaway GT1",24212,K,Jet Engine,No,Natural Gas,<undefined>,60.5,140.8,40.610683,-73.759891
"Shoreham GT3",24213,K,Combustion Turbine,No,Fuel Oil,<undefined>,50,4.1,40.958228,-72.866146
"Shoreham GT4",24214,K,Combustion Turbine,No,Fuel Oil,<undefined>,50,4,40.958228,-72.866146
"Pilgrim GT1",24216,K,Combustion Turbine,No,Natural Gas,<undefined>,50,54.7,40.787453,-73.294752
"Pilgrim GT2",24217,K,Combustion Turbine,No,Natural Gas,<undefined>,50,53.7,40.787453,-73.294752
"Glenwood GT 04",24219,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,53,35.7,40.831741,-73.647631
"Glenwood GT 05",24220,K,Combustion Turbine,YES,Natural Gas,Fuel Oil,53,50.7,40.831741,-73.647631
"Narrows 1-1",24228,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,6.4,40.659384,-73.993715
"Narrows 1-2",24229,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,3.6,40.659384,-73.993715
"Narrows 1-3",24230,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,4,40.659384,-73.993715
"Narrows 1-4",24231,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,2.7,40.659384,-73.993715
"Narrows 1-5",24232,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,3,40.659384,-73.993715
"Narrows 1-6",24233,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,3,40.659384,-73.993715
"Narrows 1-7",24234,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,6.1,40.659384,-73.993715
"Narrows 1-8",24235,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,4.6,40.659384,-73.993715
"Narrows 2-1",24236,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,3.4,40.659384,-73.993715
"Narrows 2-2",24237,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,3.4,40.659384,-73.993715
"Narrows 2-3",24238,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,3.4,40.659384,-73.993715
"Narrows 2-4",24239,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,7,40.659384,-73.993715
"Narrows 2-5",24240,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,4.8,40.659384,-73.993715
"Narrows 2-6",24241,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,2.8,40.659384,-73.993715
"Narrows 2-7",24242,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,6.6,40.659384,-73.993715
"Narrows 2-8",24243,J,Combustion Turbine,YES,Fuel Oil,Natural Gas,22,6.4,40.659384,-73.993715
"Ravenswood 10",24258,J,Jet Engine,YES,Kerosene,Natural Gas,25,2.1,40.763619,-73.943008
"Ravenswood 11",24259,J,Jet Engine,YES,Kerosene,Natural Gas,25,2.6,40.763619,-73.943008
"East River 1",323558,J,Combined Cycle,YES,Natural Gas,Kerosene,185,1141.4,40.726898,-73.972955
"East River 2",323559,J,Combined Cycle,YES,Natural Gas,Kerosene,185,1092.8,40.727823,-73.974959
"Pinelawn Power 1",323563,K,Combined Cycle,YES,Natural Gas,Kerosene,82,162.2,40.73589,-73.387823
"Bethpage 3",323564,K,Combined Cycle,No,Natural Gas,<undefined>,96,121.8,40.747146,-73.49753
"Astoria CC 1",323568,J,Combined Cycle,YES,Natural Gas,Fuel Oil,288,2140.4,40.787725,-73.908745
"Colonie LFGTE",323577,F,Internal Combustion,No,Methane (Bio Gas),<undefined>,6.4,33.7,42.787293,-73.636904
"Modern LF",323580,A,Internal Combustion,No,Methane (Bio Gas),<undefined>,6.4,19.9,43.14265,-78.84141
"Astoria East Energy - CC1",323581,J,Combined Cycle,YES,Natural Gas,Fuel Oil,320,3584.2,40.787176,-73.907032
"Bethpage GT4",323586,K,Combustion Turbine,No,Natural Gas,<undefined>,60,70.4,40.747099,-73.497568
"Broome LFGE",323600,C,Internal Combustion,No,Methane (Bio Gas),<undefined>,2.4,6.3,42.132703,-75.931693
"Chaffee",323603,A,Internal Combustion,No,Methane (Bio Gas),<undefined>,6.4,46.8,42.625404,-78.712551
"Mill Seat",323607,B,Internal Combustion,No,Methane (Bio Gas),<undefined>,6.4,52.8,43.062886,-78.27835
"Albany LFGE",323615,F,Internal Combustion,No,Methane (Bio Gas),<undefined>,5.6,28.7,42.691041,-73.803149
"Clinton LFGE",323618,D,Internal Combustion,No,Methane (Bio Gas),<undefined>,6.4,28.8,44.703599,-73.59581
"DANC LFGE",323619,E,Internal Combustion,No,Methane (Bio Gas),<undefined>,6.4,33.4,44.003204,-75.816351
"Hyland LFGE",323620,B,Internal Combustion,No,Methane (Bio Gas),<undefined>,4.8,36.1,42.286128,-78.012971
"Caithness_CC_1",323624,K,Combined Cycle,YES,Natural Gas,Fuel Oil,375,2478.2,40.831064,-72.93772
"Madison County LF",323628,E,Internal Combustion,No,Methane (Bio Gas),<undefined>,1.6,4.5,43.101984,-75.631405
"Chautauqua LFGE",323629,A,Internal Combustion,No,Methane (Bio Gas),<undefined>,9.6,43.5,42.473324,-79.290624
"Fulton LFGE",323630,F,Internal Combustion,No,Methane (Bio Gas),<undefined>,3.2,13.8,43.04127,-74.380413
"EMPIRE_CC_1",323656,F,Combined Cycle,YES,Natural Gas,Fuel Oil,335,1355.4,42.624571,-73.750085
"EMPIRE_CC_2",323658,F,Combined Cycle,YES,Natural Gas,Fuel Oil,335,843.1,42.624571,-73.750085
"Steuben County LF",323667,C,Internal Combustion,No,Methane (Bio Gas),<undefined>,3.2,16.6,42.315919,-77.271425
"Broome 2 LFGE",323671,C,Internal Combustion,No,Methane (Bio Gas),<undefined>,2.1,18.6,42.132703,-75.931693
"Astoria Energy 2 - CC3",323677,J,Combined Cycle,YES,Natural Gas,Fuel Oil,330,2750.3,40.78719,-73.9071
"Islip (RR)",323679,K,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,12.5,55.7,40.784928,-73.114985
"Oneida-Herkimer  LFGE",323681,E,Internal Combustion,No,Methane (Bio Gas),<undefined>,3.2,27,43.417623,-75.40457
"Bayonne EC  CTG1",323682,J,Jet Engine,YES,Natural Gas,Kerosene,64,78.1,40.652228,-74.090857
"Bayonne EC  CTG2",323683,J,Jet Engine,YES,Natural Gas,Kerosene,64,86.6,40.652228,-74.090857
"Bayonne EC  CTG3",323684,J,Jet Engine,YES,Natural Gas,Kerosene,64,72.4,40.652228,-74.090857
"Bayonne EC  CTG4",323685,J,Jet Engine,YES,Natural Gas,Kerosene,64,74.3,40.652228,-74.090857
"Bayonne EC  CTG5",323686,J,Jet Engine,YES,Natural Gas,Kerosene,64,79.8,40.652228,-74.090857
"Bayonne EC  CTG6",323687,J,Jet Engine,YES,Natural Gas,Kerosene,64,72.1,40.652228,-74.090857
"Bayonne EC  CTG7",323688,J,Jet Engine,YES,Natural Gas,Kerosene,64,89.9,40.652228,-74.090857
"Bayonne EC  CTG8",323689,J,Jet Engine,YES,Natural Gas,Kerosene,64,80.7,40.652228,-74.090857
"Synergy Biogas",323694,B,Internal Combustion,No,Methane (Bio Gas),<undefined>,2,3.1,42.982493,-78.159298
"Nassau Energy Corporation",323695,K,Combined Cycle,YES,Natural Gas,Fuel Oil,55,331,40.730425,-73.610998
"Babylon (RR)",323704,K,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,17,112.1,40.73589,-73.387823
"Huntington (RR)",323705,K,Steam Turbine (Fossile),No,Refuse (Solid Waste),<undefined>,28,188.8,40.881949,-73.291327
"CPV_VALLEY___CC1",323721,G,Combined Cycle,YES,Natural Gas,Fuel Oil,385,686.8,41.412477,-74.43695
"CPV_VALLEY___CC2",323722,G,Combined Cycle,YES,Natural Gas,Fuel Oil,385,667.3,41.412477,-74.43695
"Bayonne EC  CTG9",323749,J,Jet Engine,YES,Natural Gas,Kerosene,64,65.7,40.652228,-74.090857
"Bayonne EC  CTG10",323750,J,Jet Engine,YES,Natural Gas,Kerosene,64,62.5,40.652228,-74.090857
"Jamestown 7",1659,A,Combustion Turbine,No,Natural Gas,<undefined>,47.3,109.8,42.0917,-79.2417
"Independence",23970,C,Combined Cycle,No,Natural Gas,<undefined>,1254,4912.1,43.495,-76.4508
"Bethlehem Energy Center",323570,F,Combined Cycle,YES,Natural Gas,Fuel Oil,893.1,5142.1,42.5905,-73.7636
